Location,Name,State,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Bank
1,Alma,KS,444.525,+,5,Tone,162.2,162.2,23,NN,FM,5,1
2,Beloit,KS,442.8,+,5,DTCS,88.5,88.5,162,NN,FM,5,1
3,Clay 2M,KS,147.165,+,0.6,Tone,162.2,162.2,23,NN,FM,5,1
4,Clay 440,KS,442.75,+,5,Tone,162.2,162.2,23,NN,FM,5,1
5,Colby,KS,444.75,+,5,Tone,162.2,162.2,23,NN,FM,5,1
6,Dodge,KS,443.675,+,5,Tone,162.2,162.2,23,NN,FM,5,1
7,El Dor,KS,443.1,+,5,Tone,162.2,162.2,23,NN,FM,5,1
8,Ellswo,KS,444.775,+,5,Tone,162.2,162.2,23,NN,FM,5,1
9,Hays,KS,442.45,+,5,Tone,162.2,162.2,23,NN,FM,5,1
10,Hill C,KS,443.7,+,5,Tone,162.2,88.5,23,NN,FM,5,1
11,Hillsb,KS,442.5,+,5,Tone,162.2,162.2,23,NN,FM,5,1
12,Hoisin,KS,147.135,+,0.6,Tone,88.5,88.5,23,NN,FM,5,1
13,Humbol,NE,443.575,+,5,Tone,88.5,88.5,23,NN,FM,5,1
14,Juncti,KS,147.315,+,0.6,Tone,162.2,162.2,23,NN,FM,5,1
15,Lenora,KS,146.88,-,0.6,Tone,162.2,162.2,23,NN,FM,5,1
16,Lincol,KS,147.195,+,0.6,,88.5,88.5,23,NN,FM,5,1
17,Manhat,KS,147.255,+,0.6,Tone,88.5,88.5,23,NN,FM,5,1
18,Matfie,KS,147.045,+,0.6,Tone,88.5,88.5,23,NN,FM,5,1
19,McPher,KS,444.6,+,5,Tone,162.2,162.2,23,NN,FM,5,1
20,Milton,KS,442.1,+,5,Tone,162.2,88.5,23,NN,FM,5,1
21,Minnea,KS,444.85,+,5,Tone,162.2,162.2,23,NN,FM,5,1
22,Newton,KS,146.61,-,0.6,Tone,103.5,103.5,23,NN,FM,5,1
23,Norway,KS,146.925,-,0.6,Tone,162.2,162.2,23,NN,FM,5,1
24,Osborn,KS,147.375,+,0.6,Tone,162.2,88.5,23,NN,FM,5,1
25,Paola,KS,442.475,+,5,Tone,151.4,107.2,23,NN,FM,5,1
26,Ransom,KS,443.575,+,5,Tone,162.2,162.2,23,NN,FM,5,1
27,Riley,KS,146.685,-,0.6,Tone,162.2,162.2,23,NN,FM,5,1
28,Russel,KS,444.95,+,5,Tone,162.2,162.2,23,NN,FM,5,1
29,Salina,KS,442.2,+,5,Tone,162.2,162.2,23,NN,FM,5,1
30,Scott,KS,444.95,+,5,Tone,100,100,23,NN,FM,5,1
31,Sterli,KS,444.45,+,5,Tone,162.2,162.2,23,NN,FM,5,1
32,Stockt,KS,146.79,-,0.6,Tone,162.2,88.5,23,NN,FM,5,1
33,Topeka,KS,146.805,-,0.6,Tone,162.2,162.2,23,NN,FM,5,1
34,Wichit,KS,443.325,+,5,Tone,162.2,162.2,23,NN,FM,5,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
35,Beaumo,KS,443.525,+,5,Tone,156.7,156.7,23,NN,FM,5,2
36,Derby,KS,146.85,-,0.6,Tone,156.7,156.7,23,NN,FM,5,2
37,Bend,KS,146.76,-,0.6,Tone,103.5,103.5,23,NN,FM,5,2
38,Havila,KS,444.125,+,5,Tone,156.7,156.7,23,NN,FM,5,2
39,Hutch2,KS,146.82,-,0.6,Tone,103.5,103.5,23,NN,FM,5,2
40,Hutch,KS,444.65,+,5,Tone,103.5,103.5,23,NN,FM,5,2
41,Nashvi,KS,442.4,+,5,Tone,103.5,88.5,23,NN,FM,5,2
42,St John,KS,146.7,-,0.6,Tone,103.5,88.5,23,NN,FM,5,2
43,Alva,OK,444.9,+,5,Tone,103.5,88.5,23,NN,FM,5,2
44,Bartle,OK,443.125,+,5,Tone,88.5,88.5,23,NN,FM,5,2
45,Goltry,OK,443.2,+,5,Tone,103.5,103.5,23,NN,FM,5,2
46,Kingfi,OK,146.64,-,0.6,Tone,100,88.5,23,NN,FM,5,2
47,Medfor,OK,147.3,+,0.6,Tone,103.5,103.5,23,NN,FM,5,2
48,Ponca,OK,146.73,-,0.6,Tone,103.5,88.5,23,NN,FM,5,2
49,Waynok,OK,443.45,+,5,Tone,103.5,103.5,23,NN,FM,5,2
50,Woodwa,OK,442.05,+,5,Tone,103.5,88.5,23,NN,FM,5,2
,,,,,,,,,,,,,
51,GMRS1,,462.55,,0,88.5,88.5,23,,NN,NFM,5,3
52,GMRS2,,462.575,,0,88.5,88.5,23,,NN,NFM,5,3
53,GMRS3,,462.6,,0,88.5,88.5,23,,NN,NFM,5,3
54,GMRS4,,462.625,,0,88.5,88.5,23,,NN,NFM,5,3
55,GMRS5,,462.65,,0,88.5,88.5,23,,NN,NFM,5,3
56,GMRS6,,462.675,,0,88.5,88.5,23,,NN,NFM,5,3
57,GMRS7,,462.7,,0,88.5,88.5,23,,NN,NFM,5,3
58,MURS 1,,151.82,,0,88.5,88.5,23,,NN,NFM,5,3
59,MURS 2,,151.88,,0,88.5,88.5,23,,NN,NFM,5,3
60,MURS 3,,151.94,,0,88.5,88.5,23,,NN,NFM,5,3
61,BLUEDO,,154.57,,0,88.5,88.5,23,,NN,FM,5,3
62,GREEND,,154.6,,0,88.5,88.5,23,,NN,FM,5,3
63,FRS1,,462.5625,,0,88.5,88.5,23,,NN,NFM,5,3
64,FRS2,,462.5875,,0,88.5,88.5,23,,NN,NFM,5,3
65,FRS3,,462.6125,,0,88.5,88.5,23,,NN,NFM,5,3
66,FRS4,,462.6375,,0,88.5,88.5,23,,NN,NFM,5,3
67,FRS5,,462.6625,,0,88.5,88.5,23,,NN,NFM,5,3
68,FRS6,,462.6875,,0,88.5,88.5,23,,NN,NFM,5,3
69,FRS7,,462.7125,,0,88.5,88.5,23,,NN,NFM,5,3
70,WPDDSP,,156.24,off,0,88.5,88.5,23,,NN,FM,5,3
